10年間	0000802100-005
冷笑的ナ	0000614100-005	0001108100-005
冷酷ナ	0000164200-002	0000233100-002	0000974100-009	0001074100-009
冷静ナ	0000118105-1281	0000897100-006	0000974107-1794
平凡ナ	0000071100-002	0000193100-004	0000745100-006	0001208100-011
非凡ナ芸術的才能	0000595105-1281
非凡ナ技術	0000595105-1281
非凡ナ知能	0000595105-1281
非凡ナ	0000929100-003
凶悪ナ	0001220100-008
凶暴ナ	0000233105-1281	0000233106-1537	0001238100-002
無分別ナ	0000586108-2049	0000902100-006	0001181104-1026
自分勝手ナ	0000994100-003
十分ナ	0000012100-001	0000430100-002
総合的ナ分類	0000128105-1281
大切ナ	0000249100-002	0000555100-003
切実ナ	0000598107-1793	0000598111-2817
親切ナ	0000464100-001	0000519108-2050	0000634100-002	0000823100-006
適切ナ	0000491200-003	0000829105-1282	0000829106-1538	0000923100-006	0000962100-003	0000962200-004
初歩的ナ	0000473100-006
批判的ナ	0000229100-001
無差別ナ	0000887105-1282
差別的ナ	0000091100-003
利口ナ	0000596100-003
利己的ナ	0000994100-001
有利ナ	0001211200-007
圧制的ナ	0000940100-003
専制的ナ	0000940109-2306
強制的ナ	0000734100-004
刺激的ナ	0000100104-1027	0000384100-001	0000602100-004
風刺的ナ	0000614100-004
深刻ナ	0000075105-1281	0001000100-002
規則的ナ	0001071100-008
前途有望ナ	0000863100-001
前衛的ナ	0000394100-004
真剣ナ	0000598100-001	0001000200-004
過剰ナ	0000598105-1283
独創的ナ	0000224100-002
創造的ナ	0000224100-001
悲劇的ナ	0000975100-003
劇的ナ	0000384100-003
協力的ナ	0000519100-003
強力ナ	0000205100-004	0000832100-001
暴力的ナ	0001220100-001
有力ナ	0000664104-1026	0000664105-1282	0000664108-2050	0000832100-003
無力ナ	0000564100-006	0000572100-003	0001225100-002
精力的ナ	0000356100-001	0001215104-1026
魅力的ナ	0000084100-004	0000084200-005	0000742100-003	0000742207-1793	0000826100-002
加虐的ナ	0000233107-1793
卑劣ナ	0000373100-007
劣等ナ	0000825200-010
有効ナ	0001091100-005	0001206100-002
効果的ナ	0000857100-004	0001091100-004
効率的ナ	0000340100-001
勇敢ナ	0000104100-001
感動的ナ	0000558100-002	0000688100-003
活動的ナ	0000009100-001	0000113100-002	0000113207-1793	0000356100-004	0001215104-1025
流動的ナ	0001215100-009
動的ナ	0001215100-003
衝動的ナ	0001056100-004
義務的ナ	0000734100-003
包括的ナ	0000282100-003
文化的ナ	0000235103-769
生半可ナ	0000570106-1538
卑怯ナ	0000212100-006
卑猥ナ	0000755100-007
協調的ナ	0000519100-005
簡単ナ	0000332100-001
単純ナ	0000071100-004	0000332100-005	0000812100-005
単調ナ	0000102100-006
博学ナ	0000594200-005
博識ナ	0000581100-004
印象的ナ	0000384105-1281	0000558100-001	0000688100-004
危険ナ	0000100104-1028	0000242100-001	0001000100-008
温厚ナ	0000464100-006
厳密ナ	0000282108-2049	0000374100-004
厳格ナ	0001083100-002
厳正ナ	0001083100-006
厳粛ナ	0001000200-002
荘厳ナ	0000688100-001
間接的ナ言及	0000909108-2049
友好的ナ	0000464200-003
無口ナ	0000881300-002	0001043100-003
変換可能ナ	0000437106-1537
実現可能ナ	0000829100-004
対比可能ナ	0000364107-1793
達成可能ナ	0000829100-005
転換可能ナ	0000437106-1537
調整可能ナ	0000437105-1281
理解可能ナ	0000157209-2305	0000157210-2561
転用可能ナ	0000437106-1537
調節可能ナ	0000437105-1281
可能ナ	0000829100-001
歴史的ナ	0000409104-1027
好都合ナ	0001211211-2817
非合法ナ	0000548109-2305
合理的ナ	0000894100-001
総合的ナ	0000282104-1025
同情的ナ	0000998100-005
有名ナ	0000409100-001	0000555100-006
著名ナ	0000409100-005	0000496200-008
名誉ナ	0000409100-009
高名ナ	0000496200-007
外向的ナ	0001038100-005
否定的ナ	0000509100-003
周辺的ナ	0000713100-005
地味ナ	0000812100-009
無意味ナ	0001207100-006
美味ナ	0000264100-003
致命的ナ	0000415100-003
革命的ナ	0000885100-005
平和的ナ	0000464205-1281
温和ナ	0000634100-005
哲学的ナ	0000594100-006
商業的ナ	0001091200-005
学問的ナ	0000337100-005	0000594100-007
独善的ナ	0000994100-006
善良ナ	0000491500-002
嘲笑的ナ	0000614100-006
因習的ナ	0000193104-1025
貧困ナ	0000825107-1793
困難ナ	0000293100-002	0000508100-002
意図的ナ	0000263100-002
意固地ナ	0001086100-005
強固ナ	0000205100-003
頑固ナ	0001074100-008	0001086100-001
国家的ナ	0000235104-1025
国民的ナ	0000235100-003
国際的ナ	0000603100-002
威圧的ナ	0000467111-2817
弾圧的ナ	0000940100-001
抑圧的ナ	0000940100-002
高圧的ナ	0000868210-2561
潜在的ナ	0000664100-006
意地悪ナ	0000373100-003
平均的ナ	0000745100-003
均等ナ	0000160105-1281	0000899105-1282
均質ナ	0000361100-006
平坦ナ	0000435100-002
無垢ナ	0000727100-004
執拗ナ	0000011104-1025
基本的ナ	0000473100-002
堅実ナ	0001071100-002
自堕落ナ	0001238100-006
堪能ナ	0000491400-007
詳細ナ情報	0000579105-1281
神聖ナ場所	0000148111-2818
破壊的ナ	0000509100-002	0001238100-007
紳士的ナ	0000823100-008
壮大ナ	0000688100-007
壮観ナ	0000688100-005
壮麗ナ	0000688100-009
変ナ	0001080100-002	0001199104-1025
大変ナ	0000467108-2049	0000641105-1282
変ナ奴	0000447100-005
奇想天外ナ	0001195208-2051
対外的ナ	0000451100-003
意外ナ	0001104100-002
法外ナ	0000380100-007	0000522100-003	0001181104-1027
外面的ナ	0000041100-003
多大ナ称賛	0000834108-2049
多忙ナ	0000113103-769	0000113200-001
多感ナ	0000727100-007
多様ナ	0000316100-002
種種雑多ナ	0000316100-005
多芸ナ	0000437104-1025
過多ナ	0000380100-002
雑多ナ	0000316108-2050
多難ナ	0000293200-001
大大的ナ	0001237100-009
寛大ナ	0000634100-003
尊大ナ	0000868200-003
巨大ナ	0000535100-001
広大ナ	0000535100-004	0000641100-003
強大ナ	0000832100-002
大規模ナ	0001237100-005
甚大ナ	0000535100-006	0001133300-004
盛大ナ	0000688100-006
絶大ナ	0000179100-004
大胆ナ	0000100100-002	0000104100-002
膨大ナ	0000522100-009	0000535100-002
莫大ナ	0000522100-008	0000535100-003	0000641100-007
重大ナ	0000535100-005	0000555100-002	0000641106-1538	0000641107-1794	0000923107-1794	0001000100-001
天文学的ナ	0000522100-007
楽天的ナ	0000769100-002
失礼ナ	0000592100-003	0000969100-001
奇妙ナ	0001080100-001	0001199100-007
奇怪ナ	0001080100-006	0001180100-007
奇抜ナ	0000740105-1281	0001080100-010	0001195208-2049
奇特ナ	0000634100-007
奇跡的ナ	0000031100-007
自由奔放ナ	0001238100-005
好意的ナ	0000491600-003	0001211210-2561
好戦的ナ	0000024100-004
良好ナ	0001211206-1537
好適ナ	0001211205-1282	0001211206-1538
妙ナ	0001195208-2050
微妙ナ	0000998200-002
軽妙洒脱ナ	0000474100-007
妥当ナ	0000430100-010	0000491200-004	0000491300-005	0000899100-004	0001029100-009
嫌ナ	0000038111-2819	0000075100-003	0000311200-002	0000780200-001	0001133100-002	0001200105-1281	0001200107-1795
微細ナ粒子	0000094107-1793
孤独ナ	0000674100-001
非科学的ナ	0000615110-2561
学究的ナ	0000337104-1025	0000594109-2305
学者的ナ	0000594208-2049
学術的ナ	0000337100-003	0000594100-008
安楽ナ	0000168100-004
完璧ナ	0000800100-001
肯定的ナ意見	0000834105-1281
定期的ナ	0001071100-009
決定的ナ	0000130100-005	0000366100-005	0000427100-002
確定的ナ	0000427100-005
肯定的ナ	0000491600-002	0000769100-003	0001211210-2562
忠実ナ	0000491700-003	0000924100-003
現実的ナ	0000829100-003	0000897100-001
非現実的ナ	0000522100-005
実用的ナ	0001206100-009
実際的ナ	0000829100-002	0000897100-002
実験的ナ	0000394100-001
着実ナ	0001071100-001
確実ナ	0000130100-001	0000427100-006
誠実ナ	0000256100-005	0000924100-006
客観的ナ	0000748100-002
有害ナ	0000242100-003	0000509100-001
寛容ナ	0000634100-004	0001154100-001
容易ナ	0000332100-002
精密ナ	0000282100-006	0000374100-003
綿密ナ	0000282107-1793
緻密ナ	0000180100-005
経験豊富ナ	0000393100-002	0001046100-005
富裕ナ	0000959100-003
寡黙ナ	0000881300-006
敵対的ナ	0000024100-002
対照的ナ	0000292105-1282
相対的ナ	0000921100-002
絶対的ナ	0000427109-2305
小説的ナ	0000422103-770
希少ナ	0000890100-004	0000982100-004
高尚ナ	0000496200-011
退屈ナ	0000102100-003
崇高ナ	0001252105-1281
精巧ナ	0000084200-007	0000180100-004
正常ナ	0001071100-007
異常ナ	0001104100-006	0001199103-769	0001199104-1026	0001199110-2561
非常ナ苦痛	0000314108-2049	0000314109-2305
常習的ナ	0000462100-007
非常ナ	0000641105-1281	0001236103-771
平易ナ	0000071100-006	0000157200-005	0000812100-004
水平ナ	0000435100-005
平滑ナ	0000435100-004
平穏ナ	0000881100-004
平等ナ	0000899105-1281
平静ナ	0000118103-769
幸福ナ	0000507100-002
幸運ナ	0001151100-005
幼稚ナ	0000145100-004
広範ナ	0001237100-003
無秩序ナ	0001198100-006
徹底的ナ	0000282106-1537	0000282111-2817	0000473100-004	0001000109-2305
清廉ナ	0000491500-005
神聖ナ建物	0000148111-2817
建設的ナ	0001211209-2305
思弁的ナ	0001100100-007
旧弊ナ	0000762100-008
強引ナ	0000024200-002
病弱ナ	0001017100-004
脆弱ナ	0001225100-003
強情ナ	0001086100-002
強暴ナ	0000968105-1281
強烈ナ	0001084200-001
強靭ナ	0001084100-002
正当ナ	0000491300-002	0000962200-002
正当ナ理由	0000672100-003	0000898110-2561
相当ナ	0000555104-1026	0000641106-1537	0000641107-1793	0000641112-3073
適当ナ	0000430100-004	0000962200-005	0001171100-005
従順ナ	0000491700-002
得意ナ	0000417100-005	0000491400-003
道徳的ナ	0000491500-003
象徴的ナ	0001179100-006
感心ナ	0001252106-1538
肝心ナ点	0000820103-769
無関心ナ	0000570100-001
熱心ナ	0000113100-003	0000330100-003	0000508104-1027	0000519105-1282	0000598100-002	0000670103-769	0000924100-005	0001000200-006
心理的ナ	0000594100-003
心的ナ	0000594106-1538
野心的ナ	0000024200-003
肝心ナ	0000366100-004
心配ナ	0001082100-005	0001250100-001
必然的ナ	0000574100-003
必要ナ物	0000735104-1025
必要ナ	0000574100-004	0000734100-001
残忍ナ	0000233104-1025	0000233106-1538	0000233108-2050	0001220100-009
忠誠ナ	0000924104-1025
愉快ナ	0000474100-005
明快ナ	0000157200-002	0000699108-2050
快活ナ	0000142100-003	0000670100-003
快適ナ	0000168100-001
概念的ナ	0000594100-009
残念ナ	0001133100-004	0001191200-001
観念的ナ	0000594107-1793
怠慢ナ	0000124100-004
性急ナ	0000880100-006	0000902100-010
急激ナ	0001000100-012
急進的ナ	0000885100-001
急速ナ	0000880100-004
最悪ナ	0001133100-008
極悪ナ	0000373100-001
粗悪ナ	0000825209-2306
悪質ナ	0000509100-008	0001133100-012
邪悪ナ	0000373100-002	0001255300-002
悲惨ナ	0000737100-009	0000780200-005	0000975100-002	0001133100-005
無慈悲ナ	0000233109-2306	0000974100-001	0001074100-012	0001083100-005
悲痛ナ	0000975100-007
悲観的ナ	0000737100-001
献身的ナ愛情	0000683200-007
感情的ナ	0000598100-008
無情ナ	0000974100-003
情熱的ナ	0000598100-005
直情的ナ	0001056100-005
薄情ナ	0000974100-008
非情ナ	0000974100-002	0001074100-010
魅惑的ナ	0000602100-006
陰惨ナ	0001133300-009
無愛想ナ	0000969111-2817	0001043100-006
理想的ナ	0000543100-002	0000800100-003
有意義ナ	0000580108-2049	0000857100-002
生意気ナ	0000187100-003	0000868200-007	0000969100-005
意識的ナ	0000263100-003
敏感ナ	0000998100-001	0000998300-003
鈍感ナ	0000586100-002
慎重ナ	0000282105-1281	0001240100-006
緩慢ナ	0001031100-004
高慢ナ	0000868200-002
習慣的ナ	0000462111-2817
慣習的ナ	0000193100-003	0001161100-005
無遠慮ナ	0000530109-2305
憂鬱ナ	0000273100-005	0000737100-005	0001192100-005
遺憾ナ	0001191200-009
懐疑的ナ	0001108100-004
懲罰的ナ	0001083100-009
手短ナ	0001011300-002
苦手ナ	0000564104-1027
手荒ナ	0001220106-1537
抜本的ナ	0000473103-769	0000473105-1281	0001000100-011
抽象的ナ	0000594100-005
持続的ナ	0000200106-1537	0000803100-009
推論的ナ	0001100100-006
真摯ナ	0000256100-002
攻撃的ナ	0000024100-001
無節操ナ	0001215106-1538
支配的ナ	0000832100-004
開放的ナ	0001154100-002
明敏ナ	0001014100-002
機敏ナ	0000413100-006
神経過敏ナ	0000998300-001
敏速ナ	0000413100-004
鋭敏ナ	0001014100-001
無教養ナ	0000546100-005
教育的ナ	0000337100-002
教訓的ナ	0000337109-2305
散発的ナ	0000752100-005
斬新ナ	0000740100-005
断続的ナ	0000752100-007
革新的ナ	0000224100-004	0000885100-002
新鮮ナ	0001256103-771
明白ナ	0000157100-002	0000699100-005	0000751100-001	0001188105-1281	0001221105-1282
明示的ナ	0000157200-004
説明的ナ	0000276100-003
明瞭ナ	0000894104-1025
明確ナ	0000157200-001	0000374100-002	0000427110-2561	0000427111-2818	0000699111-2817	0000788100-013	0000812200-006
明細ナ	0000374100-005
聡明ナ	0000596100-002
賢明ナ	0000089100-003	0001240100-002
透明ナ	0000157300-001
殺風景ナ	0000812100-008
暇ナ	0000459300-003
温暖ナ	0001096100-004
横暴ナ	0000868210-2562
暴虐ナ	0000940104-1025
最終的ナ	0000427103-769	0000427107-1793	0000642100-004
最重要ナ	0000689106-1537	0000689109-2305	0000689110-2561
有益ナ物	0000088109-2305
有用ナ	0000829105-1281	0000829106-1537	0001206100-001	0001211200-003
有益ナ	0000580100-001	0001206100-003	0001211200-004
有能ナ	0000491400-001
絶望的ナ	0001000110-2562
長期的ナ	0000675100-003
未熟ナ	0000727100-003
末梢的ナ	0000713100-004
根本的ナ	0000473100-003
本能的ナ	0000731100-005
本質的ナ	0000473100-005
素朴ナ	0000071100-003
結果的ナ	0000642100-005
横柄ナ	0000868200-004	0000969100-009
柔軟ナ	0000437100-002	0001040100-004
根源的ナ	0000473100-007
消極的ナ	0000737100-003
積極的ナ	0000113100-004
極端ナ	0000885100-007	0001000100-006
楽ナ	0000332103-769	0000332109-2306	0000332200-001
気楽ナ	0000332200-002	0000464200-006	0000474111-2818
楽観的ナ	0000769100-001
異様ナ	0001080100-003	0001180100-006
標準的ナ	0000745100-008
模範的ナ	0000800105-1281
機能的ナ	0001206100-010
間欠的ナ	0000752100-008
詐欺的ナ	0000212100-004	0000312100-003
正統的ナ	0001161100-009
正直ナ	0000530100-008	0000949100-007
正確ナ	0000374100-001	0001216100-005
適正ナ	0000430105-1281	0000899100-005	0000949104-1025
進歩的ナ	0000885100-006
特殊ナ	0000788100-014	0001050100-002
残虐ナ	0001220100-010
残酷ナ	0000233100-001	0000974100-011
比較的ナ	0000921100-003
短気ナ	0000617100-004	0000998300-006
陽気ナ	0000142100-001	0000474111-2817	0000670100-004	0000769100-006
永続的ナ	0000200100-003
肥沃ナ	0000857100-003
沈着ナ	0000118113-3329
無法ナ	0001238100-004
法的ナ	0000655100-002
違法ナ	0000548100-002
活発ナ	0000113200-005	0000356100-002	0000670100-002	0001215100-004
立派ナ	0000641100-011	0000949100-001	0001252100-004
清潔ナ	0000155100-001	0000800109-2305
経済的ナ	0000138100-005	0001011300-005
湿潤ナ	0000536100-002
満足ナ	0000430103-770
自滅的ナ	0000572108-2049
潔白ナ	0000585100-002
簡潔ナ	0001011300-001
高潔ナ	0000491500-004	0000949100-008	0001252100-009
激烈ナ	0000598105-1281
過激ナ	0000885100-003
非道ナ行為	0000225210-2561
熱烈ナ	0000330100-004	0000464104-1027	0000519105-1282	0000598100-004	0000670106-1538	0000685110-2561
猛烈ナ	0000598100-006	0000670104-1025	0000968100-004
痛烈ナ	0001014100-006	0001074100-003
無理ナ	0000556100-003	0001181104-1025	0001195205-1282
無益ナ	0000572107-1794	0001207100-004
無頓着ナ	0000570100-002
無知ナ	0000546100-002
無礼ナ	0000592100-004	0000704100-004	0000969100-002
無神経ナ	0000586100-001	0000974100-006
無能ナ	0000564100-001	0000572100-002
無謀ナ	0000902100-001
無難ナ	0000430100-006
無駄ナ	0000572103-770	0000572105-1283	0000572107-1793	0001207100-005
自然ナ	0000751104-1026
熱狂的ナ	0000330104-1025	0000382107-1793	0000598110-2561
特異ナ	0001050100-003	0001194100-009
狡猾ナ	0000312100-004
独裁的ナ	0000940100-006
狭量ナ	0000666100-005
献身的ナ	0000685100-005	0000924100-004
能率的ナ	0000340100-002
率直ナ	0000530100-001	0000812200-002
軽率ナ	0000124100-003	0000586108-2050	0000902100-007
理論的ナ	0000594100-002
論理的ナ	0000894100-004
非論理的ナ	0000615100-004
生産的ナ	0000857100-001
衛生的ナ	0000155100-005
自由ナ	0000459100-003	0000459300-005
計画的ナ	0000263100-004
簡略ナ	0000812100-006
驚異的ナ	0000031100-003
臆病ナ	0001016100-005
自発的ナ	0000519100-004	0001056100-001	0001224100-001
直観的ナ	0000731105-1281
知的ナ	0000594100-001	0000594200-002
的確ナ	0001014100-005
精神的ナ	0000594100-004
私的ナ	0000990100-008
端的ナ	0000530105-1282	0000530108-2050
系統的ナ	0000894100-005
組織的ナ	0000340104-1025
継続的ナ	0000200100-001	0000462100-006
連続的ナ	0000200100-002
脅迫的ナ	0000467111-2817
良識的ナ	0000089100-005
芸術的ナ	0000224104-1028
軽蔑的ナ	0000592106-1537
表面的ナ	0000041100-004
解説的ナ	0000276100-004
解釈的ナ	0000276100-005
記述的ナ	0000276100-001
酷評的ナ	0000229100-002
試験的ナ	0000394103-769
皮肉ナ	0000614100-002
顕著ナ相違	0000291104-1025	0000291105-1281
純真ナ	0000071104-1025
神経質ナ	0000998300-002
裕福ナ	0000959100-002
空腹ナ	0000538100-001
簡素ナ	0000812100-002
粋ナ	0000343100-003	0000412100-007
高級ナ	0000412100-006
質素ナ	0000812100-003	0001029105-1281
